title,body,labels,assignees,milestone
"T001.1 - Create repository layout and README","ID: T001.1\nEstimate: LO\nFiles: README.md, .gitignore\nDescription: Create top-level README and repository layout for modules.\nAcceptance: repo skeleton exists and README describes modules.","phase0,infra,est-LO","","Phase 0"
"T001.2 - Add GitHub workflows: CI","ID: T001.2\nEstimate: MD\nFiles: .github/workflows/ci.yml\nDescription: Add CI pipeline with lint and test jobs.\nAcceptance: PR triggers CI and passes on empty run.","phase0,ci,est-MD","","Phase 0"
"T001.3 - Linters and formatter configs","ID: T001.3\nEstimate: LO\nFiles: .eslintrc/.prettierrc (or equivalents)\nDescription: Configure repo linters and formatter.\nAcceptance: lint job runs and reports.","phase0,infra,est-LO","","Phase 0"
"T002.1 - IaC directory and templates","ID: T002.1\nEstimate: MD\nFiles: infra/README.md, infra/templates/*\nDescription: Create IaC directory and basic templates.\nAcceptance: templates present and documented.","phase0,infra,iac,est-MD","","Phase 0"
"T002.2 - Define DB, storage, queue resources","ID: T002.2\nEstimate: HI\nFiles: infra/templates/*.tf\nDescription: Define templates for DB, object storage, and queue resources.\nAcceptance: templates include DB, bucket, queue with variables.","phase0,infra,iac,est-HI","","Phase 0"
"T003.1 - Auth skeleton: login endpoint","ID: T003.1\nEstimate: LO\nFiles: backend/src/auth/*\nDescription: Implement login endpoint accepting Telegram token and issuing session token.\nAcceptance: /auth/login returns token and 200 for valid telegram token.","phase0,backend,auth,est-LO","","Phase 0"
"T003.2 - Persist user on first login","ID: T003.2\nEstimate: MD\nFiles: backend/src/models/user, migrations\nDescription: Create user record on first login with default tier.\nAcceptance: user persisted with telegram_id and default tier.","phase0,backend,auth,est-MD","","Phase 0"
"T003.3 - Tests for auth flow","ID: T003.3\nEstimate: MD\nFiles: backend/tests/auth/*\nDescription: Unit tests verifying login mapping and token issuance.\nAcceptance: tests pass in CI.","phase0,tests,est-MD","","Phase 0"
"T004.1 - Schemas/migrations: User/Project/Track/Version","ID: T004.1\nEstimate: MD\nFiles: backend/migrations/*, backend/src/models/*\nDescription: Define schemas and migrations for core models.\nAcceptance: migrations create tables; CRUD unit tests pass.","phase0,models,db,est-MD","","Phase 0"
"T004.2 - Implement Job/Transaction/AppBalance/PriceCatalog models","ID: T004.2\nEstimate: MD\nFiles: backend/src/models/*\nDescription: Add billing and job related models.\nAcceptance: models include required fields and basic CRUD APIs.","phase0,models,db,est-MD","","Phase 0"
"T005.1 - Admin PriceCatalog API","ID: T005.1\nEstimate: MD\nFiles: backend/src/admin/pricecatalog.*\nDescription: Admin API to list/update price entries.\nAcceptance: admin can list and update prices.","phase0,admin,est-MD","","Phase 0"
"T010.1 - Billing domain model and API spec","ID: T010.1\nEstimate: LO\nFiles: backend/src/services/billing/spec.md\nDescription: Design billing domain and API contract.\nAcceptance: API spec reviewed and approved.","phase1,billing,est-LO","","Phase 1"
